depth,frontier_size,discovered,kept,median_age_years,cohesion
1,4,0,0,,
1,4,0,0,,
1,6,3,3,0.31485284052019163,0.0679154115578607
2,3,0,0,,
1,6,3,3,1.8973305954825461,0.2885036507111944
2,3,1,1,1.0622861054072552,
3,1,0,0,,
1,8,14,14,4.269678302532512,0.086174660994668
2,14,37,37,1.730321697467488,0.054067866548934876
3,37,15,15,1.4442162902121836,0.07656656406962387
4,15,0,0,,
1,4,0,0,,
1,11,11,11,1.6454483230663928,0.09131529537759953
2,11,11,11,0.6858316221765914,0.06497224786542975
3,11,1,1,0.7282683093771389,
4,1,0,0,,
1,4,5,5,1.3963039014373717,0.14878871062978902
2,5,1,1,,
3,1,0,0,,
1,12,19,19,3.6440793976728267,0.08820908974200259
2,19,24,24,2.64476386036961,0.04613295434636939
3,24,23,23,0.48186173853524983,0.052854078756948863
4,23,6,6,0.3258042436687201,0.0498241841941951
5,6,0,0,,
1,4,7,7,3.482546201232033,0.10293902892868115
2,7,0,0,,
1,6,8,8,5.938398357289527,0.1174728214915269
2,8,3,3,1.270362765229295,0.1120957903873389
3,3,0,0,,
1,12,5,5,2.520191649555099,0.06825855900906883
2,5,0,0,,
1,4,2,2,1.3949349760438057,2.220446049250313e-16
2,2,2,2,0.43121149897330596,0.3351757433279263
3,2,0,0,,
1,31,19,19,2.357289527720739,0.09064694396291804
2,19,13,13,1.4811772758384667,0.09037566137975364
3,13,2,2,0.40246406570841886,0.05700655341923522
4,2,0,0,,
1,5,5,5,1.7494866529774127,0.28317401651565854
2,5,3,3,0.7282683093771389,0.26829950317306334
3,3,4,4,0.188911704312115,0.02200252988700413
4,4,0,0,,
1,6,2,2,4.851471594798084,0.12495782434533553
2,2,4,4,2.628336755646817,0.13295734826760489
3,4,1,1,0.2299794661190965,
4,1,0,0,,
1,5,19,19,2.521560574948665,0.06714100991955067
2,19,15,15,1.2922655715263518,0.06397915541851863
3,15,3,3,0.30116358658453113,1.0000000000000002
4,3,0,0,,
1,6,22,22,2.438056125941136,0.09100649640684913
2,22,8,8,3.270362765229295,0.0456531166515805
3,8,0,0,,
1,8,30,30,2.811772758384668,0.10404174528527942
2,30,17,17,0.31485284052019163,0.0719484371919713
3,17,0,0,,
