cluster_id,seeds,total_kept,depth_reached,kept_d1,final_cohesion,final_median_age
8,12,72,4,19,0.06319062144037234,0.3258042436687201
4,8,66,3,14,0.07292452858931638,1.4442162902121836
16,5,37,3,19,1.0000000000000007,0.30116358658453113
13,31,34,3,19,0.02517864864362873,0.40246406570841886
6,11,23,3,11,0.06388344670208122,0.7282683093771389
14,5,12,3,5,0.026447411932444265,0.188911704312115
15,6,7,3,2,0.14294838425397619,0.2299794661190965
18,8,47,2,30,0.06594705265910497,0.31485284052019163
17,6,30,2,22,0.04440062527200036,3.270362765229295
10,6,11,2,8,0.09488562178788033,1.270362765229295
7,4,6,2,5,0.13928035263092808,1.3963039014373717
3,6,4,2,3,0.1879074476015723,1.0622861054072552
12,4,4,2,2,0.26640096841912486,0.43121149897330596
9,4,7,1,7,0.09208852537698235,3.482546201232033
11,12,5,1,5,0.07802976493225536,2.520191649555099
2,6,3,1,3,0.05757094666192719,0.31485284052019163
0,4,0,0,0,,
1,4,0,0,0,,
5,4,0,0,0,,
