cluster_id,depth,prev_frontier_size,discovered,support_keep,after_cap,cap,cos_seed_centroid_med,centroid_drift,cohesion
0,1,4,36,0,0,32,,,
1,1,4,28,0,0,32,,,
2,1,6,57,3,3,38,0.2221869587570008,0.3241117368821811,0.07441657858345052
2,2,3,2,0,0,29,,,
3,1,6,60,3,3,38,0.2713120071035217,0.44412736225159816,0.14264705427374627
3,2,3,14,1,1,29,0.18971939773227994,0.18971939773227997,
3,3,1,9,0,0,23,,,
4,1,8,92,14,14,44,0.22227366070249926,0.5695286143418802,0.10407418719298045
4,2,14,211,37,37,62,0.18028742025533628,0.5649755879470393,0.0663600268645642
4,3,37,172,15,15,131,0.12359548641315399,0.4170488752131375,0.07807813100651653
4,4,15,12,0,0,65,,,
5,1,4,52,0,0,32,,,
6,1,11,42,11,11,53,0.22414418862885474,0.5363345793788029,0.09103527758912268
6,2,11,169,11,11,53,0.08021896054862411,0.3142834382522334,0.06821622287209149
6,3,11,19,1,1,53,0.03492791033372081,0.034927910333720814,
6,4,1,1,0,0,23,,,
7,1,4,25,5,5,32,0.4048217179518534,0.5890962731579903,0.1443813771806758
7,2,5,8,1,1,35,0.14308206245955696,0.14308206245955693,
8,1,12,61,19,19,56,0.2801548940174683,0.6916273707282262,0.11975984212802825
8,2,19,149,24,24,77,0.09542613819246751,0.3676479919105972,0.07281674586969285
8,3,24,115,23,23,92,0.09998552576548646,0.3863120920749885,0.058473291880558526
8,4,23,47,6,6,89,0.07961297844658605,0.18907705082758594,0.0914202259862338
8,5,6,11,0,0,38,,,
9,1,4,45,7,7,32,0.16986671551927282,0.484993145691277,0.10747498330821836
9,2,7,16,0,0,41,,,
10,1,6,66,8,8,38,0.18086795009358736,0.36563323922616,0.15413899909795717
10,2,8,66,3,3,44,0.12735192817919,0.20232649799827385,0.18843822072626923
10,3,3,6,0,0,29,,,
11,1,12,52,5,5,56,0.1999631933434605,0.37836400721681224,0.05621920354151335
11,2,5,22,0,0,35,,,
12,1,4,52,2,2,32,0.2551034216457607,0.3380383581314106,0.13901802236655048
12,2,2,17,2,2,26,0.2887871652648728,0.38177795798586606,0.14436369063905707
12,3,2,1,0,0,26,,,
13,1,31,302,19,19,113,0.21073623031009564,0.5696588339852142,0.08604877516551844
13,2,19,196,13,13,77,0.18268171381768644,0.46533403892708647,0.11019326133109004
13,3,13,28,2,2,59,0.1904601266764703,0.26684229998405934,0.018893479086914855
14,1,5,53,5,5,35,0.19379370607439803,0.309667735778838,0.2758138832393596
14,2,5,30,3,3,35,0.1907272826113094,0.23118938381537513,0.41370270416293514
14,3,3,5,4,4,29,0.09662463817790796,0.15993406169005903,0.03464744928005622
14,4,4,2,0,0,32,,,
15,1,6,68,2,2,38,0.2522870856779815,0.31526322544872193,0.2807766657584183
15,2,2,33,4,4,26,0.2015788217486179,0.399315881749531,0.12746286400326431
15,3,4,32,1,1,32,0.17444260444603144,0.17444260444603135,
16,1,5,146,19,19,35,0.2159754776568152,0.5393683129920054,0.09715568767295199
16,2,19,152,15,15,77,0.17544975167454382,0.4899519088471058,0.08803619177862086
16,3,15,24,3,3,65,0.06717767381470029,0.06717767381470031,1.0000000000000002
16,4,3,28,0,0,29,,,
17,1,6,105,22,22,38,0.24790178298615378,0.6424063630730729,0.11110357847866471
17,2,22,138,8,8,86,0.15323248887527363,0.3624269694434368,0.03777467897292471
17,3,8,21,0,0,44,,,
18,1,8,111,30,30,44,0.21846309664213814,0.6459401068845999,0.11441794792816265
18,2,30,196,17,17,110,0.14040984074196314,0.5106765556777284,0.08241434795808317
18,3,17,13,0,0,71,,,
