depth,kept,cohesion,median_age_years
1,0,,
1,0,,
1,3,0.5777008533477783,0.31485284052019163
2,0,,
1,3,0.8797985911369324,1.8973305954825461
2,1,,1.0622861054072552
3,0,,
1,14,0.6231544613838196,4.269678302532512
2,37,0.5652213096618652,1.730321697467488
3,15,0.5690164566040039,1.4442162902121836
4,0,,
1,0,,
1,11,0.595784068107605,1.6454483230663928
2,11,0.5781904458999634,0.6858316221765914
3,1,,0.7282683093771389
4,0,,
1,5,0.6393687129020691,1.3963039014373717
2,1,,
3,0,,
1,19,0.6775021553039551,3.6440793976728267
2,24,0.5534757971763611,2.64476386036961
3,23,0.5367435812950134,0.48186173853524983
4,6,0.5428368449211121,0.3258042436687201
5,0,,
1,7,0.5820161700248718,3.482546201232033
2,0,,
1,8,0.7004818320274353,5.938398357289527
2,3,0.6950120329856873,1.270362765229295
3,0,,
1,5,0.5473409295082092,2.520191649555099
2,0,,
1,2,0.439142107963562,1.3949349760438057
2,2,0.6484493017196655,0.43121149897330596
3,0,,
1,19,0.600867509841919,2.357289527720739
2,13,0.6596866250038147,1.4811772758384667
3,2,0.6342668533325195,0.40246406570841886
4,0,,
1,5,0.855231761932373,1.7494866529774127
2,3,0.8126410841941833,0.7282683093771389
3,4,0.5212966799736023,0.188911704312115
4,0,,
1,2,0.6952275037765503,4.851471594798084
2,4,0.6677694320678711,2.628336755646817
3,1,,0.2299794661190965
4,0,,
1,19,0.6035465598106384,2.521560574948665
2,15,0.5706018805503845,1.2922655715263518
3,3,0.9905712008476257,0.30116358658453113
4,0,,
1,22,0.5915471911430359,2.438056125941136
2,8,0.45105457305908203,3.270362765229295
3,0,,
1,30,0.5989716649055481,2.811772758384668
2,17,0.5570337176322937,0.31485284052019163
3,0,,
